iter	RMSE
0	204.9437788
1	190.9569968
2	177.9679378
3	166.3848103
4	155.6485402
5	146.5554329
6	137.9483458
7	129.3923337
8	122.1453585
9	115.3976461
10	109.0929669
11	103.2357757
12	98.01642733
13	93.47481333
14	89.16267091
15	85.20191921
16	82.27438587
17	79.13916706
18	76.61037823
19	73.87611906
20	71.19319198
21	69.0109923
22	66.89666886
23	64.55544304
24	62.59854145
25	60.82885314
26	59.46271739
27	58.02641655
28	56.62654497
29	55.25484307
30	54.10472681
31	53.17179895
32	52.18207704
33	51.37375654
34	50.64595138
35	49.64227324
36	49.1142178
37	48.08961078
38	47.64822704
39	46.97904444
40	46.48889545
41	46.03616019
42	45.39346259
43	45.09302349
44	44.79882827
45	44.33129419
46	43.61596434
47	43.11839057
48	42.69988098
49	42.44016738
50	42.05711114
51	41.80495693
52	41.26634524
53	41.01373792
54	40.79431452
55	40.23139377
56	39.75239191
57	39.30060727
58	38.46354454
59	38.27567525
60	37.78896247
61	37.25197038
62	37.01488034
63	36.71336524
64	36.58430376
65	36.36740152
66	35.92580136
67	35.30958055
68	34.67449884
69	34.20967591
70	33.90403822
71	33.53833
72	33.0539192
73	32.83650406
74	32.63103366
75	32.43017392
76	31.91774849
77	31.31123596
78	30.93747846
79	30.7278892
80	30.60253248
81	30.15655314
82	30.04863985
83	29.70968687
84	29.38241542
85	28.98350159
86	28.66514598
87	28.44508831
88	28.20553478
89	27.99884528
90	27.77995805
91	27.50972616
92	27.30981851
93	27.24940549
94	26.96922856
95	26.80077488
96	26.57762348
97	26.29210118
98	26.17299752
99	26.00337533
100	25.93179325
101	25.81071645
102	25.42364008
103	25.26843719
104	25.11020342
105	24.6975125
106	24.46528273
107	24.23434281
108	24.08200224
109	23.88368436
110	23.54539668
111	23.39850097
112	23.34382694
113	23.18167423
114	22.82468114
115	22.50489917
116	22.33883649
117	22.17467089
118	22.08772947
119	21.94140255
120	21.84401001
121	21.59125051
122	21.45336075
123	21.32584192
124	21.28401038
125	21.12931028
126	20.85916134
127	20.83368185
128	20.6033723
129	20.52022341
130	20.32027825
131	20.10209672
132	19.96506044
133	19.78721624
134	19.66290635
135	19.58449161
136	19.51656013
137	19.46701437
138	19.30634457
139	19.19509471
140	19.06790396
141	19.03454923
142	18.91274377
143	18.82486111
144	18.63716044
145	18.37345491
146	18.25251359
147	18.1911098
148	17.98433219
149	17.85836794
150	17.76758664
151	17.61460332
152	17.54124288
153	17.4678202
154	17.36377232
155	17.20615972
156	17.05749928
157	16.99233681
158	16.83313483
159	16.69238268
160	16.63616614
161	16.51723216
162	16.32876852
163	16.30041323
164	16.161646
165	16.04594245
166	15.94230323
167	15.81025625
168	15.70209874
169	15.64901429
170	15.48429698
171	15.39678614
172	15.27447996
173	15.24372006
174	15.14171546
175	15.04874627
176	14.9377703
177	14.81061921
178	14.72194247
179	14.56574074
180	14.47418908
181	14.3266707
182	14.22210128
183	14.16649671
184	14.06125681
185	13.92127658
186	13.81316967
187	13.6983489
188	13.5641557
189	13.53464
190	13.39548265
191	13.3465215
192	13.28086527
193	13.14149917
194	13.02906473
195	12.95568059
196	12.8602651
197	12.8200199
198	12.7638161
199	12.69382658
200	12.56670606
201	12.48976974
202	12.41403004
203	12.32071895
204	12.21540719
205	12.16164238
206	12.08594597
207	11.97178044
208	11.89770578
209	11.84137749
210	11.77091082
211	11.69183311
212	11.67289685
213	11.59467564
214	11.57044289
215	11.51059175
216	11.43494381
217	11.36943469
218	11.22923668
219	11.14731889
220	11.07663967
221	10.97685543
222	10.8981706
223	10.84304221
224	10.77100183
225	10.72592266
226	10.69445655
227	10.60406155
228	10.58743628
229	10.52752043
230	10.47446545
231	10.43982709
232	10.396207
233	10.32920645
234	10.28281139
235	10.23460443
236	10.18888035
237	10.10259252
238	10.01990215
239	9.95497002
240	9.88526705
241	9.844646997
242	9.782276525
243	9.702164161
244	9.58123079
245	9.522652108
246	9.464138565
247	9.422977071
248	9.351963699
249	9.282190146
250	9.21784498
251	9.153415827
252	9.099087022
253	8.987581626
254	8.920010815
255	8.85881546
256	8.824653417
257	8.772442738
258	8.741565434
259	8.688902025
260	8.660174469
261	8.577469458
262	8.530876852
263	8.495979559
264	8.466668535
265	8.429624746
266	8.408246339
267	8.364627141
268	8.344579643
269	8.319083217
270	8.274200408
271	8.215686832
272	8.168036622
273	8.10676167
274	8.027183541
275	8.008465476
276	7.955133065
277	7.94909929
278	7.90215989
279	7.849765439
280	7.798574558
281	7.760790718
282	7.692541178
283	7.654687974
284	7.617588104
285	7.574135033
286	7.519979685
287	7.461854973
288	7.427264886
289	7.365896436
290	7.348355093
291	7.326993098
292	7.263398379
293	7.238320996
294	7.206125197
295	7.188850921
296	7.14861869
297	7.092353019
298	7.06762502
299	7.023692006
300	7.001104949
301	6.982805339
302	6.933333985
303	6.895146826
304	6.824787566
305	6.800704684
306	6.776998289
307	6.744915311
308	6.691611807
309	6.679950356
310	6.642358658
311	6.617527641
312	6.606067175
313	6.579572128
314	6.522086678
315	6.479687901
316	6.441535047
317	6.410925348
318	6.371802453
319	6.322092682
320	6.281779093
321	6.238951223
322	6.217703953
323	6.18217066
324	6.164075436
325	6.157178823
326	6.11875519
327	6.074798059
328	6.036174651
329	6.021824872
330	5.989058404
331	5.966277687
332	5.92174356
333	5.904161403
334	5.869784844
335	5.831327961
336	5.817267744
337	5.780410161
338	5.752604071
339	5.727762672
340	5.70753544
341	5.67283819
342	5.644541331
343	5.637676658
344	5.630079421
345	5.601237967
346	5.571809767
347	5.550287849
348	5.524504936
349	5.49545703
350	5.467039667
351	5.44112453
352	5.412603404
353	5.399610309
354	5.356713947
355	5.336739678
356	5.289438316
357	5.273004293
358	5.242935066
359	5.224166636
360	5.204900437
361	5.177126146
362	5.143265721
363	5.112783474
364	5.082605033
